Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Sainte-Marguerite,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Sainte-Marguerite, Centre",Groupe régional,1967,6.9,1809,400,1448.4,411.2,61.1,8.7,4.8,18.9,111.6,16.4,1.25,32.3,1395.0,10.8,6.2,31.2,0.109,0.56,0.3,0.084,0.19,5.2,0.008,0.3,16.2,Traces détectées,0.055,1.37,51.4,16.3,Selon composition minérale,Aucune,23.1,2025-08-29,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.2,1.5,48.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Amanda,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Amanda, Sud",Groupe régional,1947,7.3,2057,310,1610.6,497.3,35.4,36.8,4.4,49.9,139.6,15.9,0.31,26.1,1007.0,4.5,2.3,9.5,0.06,0.42,4.8,0.071,0.08,9.5,0.006,0.29,58.2,Traces détectées,0.04,0.07,62.2,9.4,Selon composition minérale,Aucune,31.0,2025-08-01,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.09,1.3,74.9,Conforme,Conforme,Eau minérale naturelle,Aucune
La Cairolle,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source La, Sud",Groupe régional,1925,7.0,1079,400,859.0,249.8,19.8,29.3,4.4,46.9,83.3,13.0,1.41,14.9,1473.6,8.1,6.1,27.3,0.118,0.62,7.5,0.067,0.21,6.4,0.013,0.35,28.0,Traces détectées,0.079,0.28,31.2,5.3,Selon composition minérale,Aucune,25.1,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.37,2.4,49.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Nessel,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Nessel, Vosges",Groupe régional,1884,6.8,2188,320,1754.4,495.4,61.2,34.8,8.4,54.3,140.8,12.7,0.93,35.0,789.2,15.0,5.1,23.9,0.103,0.58,1.5,0.043,0.07,5.1,0.003,0.32,66.5,Traces détectées,0.059,0.34,61.9,16.3,Selon composition minérale,Aucune,3.7,2025-07-23,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.32,3.1,55.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Jouvence de Wattwiller,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Jouvence, Vosges",Groupe régional,1917,8.0,1515,150,1177.7,367.4,19.1,38.0,7.2,48.8,95.1,8.6,0.68,31.8,1049.4,11.4,6.9,37.4,0.118,0.59,3.7,0.081,0.12,3.5,0.008,0.21,38.0,Traces détectées,0.05,0.43,45.9,5.1,Selon composition minérale,Aucune,24.6,2025-07-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,3.4,46.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Aix-les-Bains,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Aix-les-Bains, Alpes",Groupe régional,1930,6.8,365,360,367.8,38.3,36.6,8.2,5.8,21.6,32.1,3.4,0.81,10.9,186.3,1.3,0.3,2.5,0.013,0.1,5.2,0.02,0.07,5.0,0.013,0.23,61.8,Non détecté,0.027,0.43,4.8,9.8,Selon composition minérale,Aucune,32.1,2025-07-04,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.3,2.6,88.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Abatilles,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Abatilles, Sud",Groupe régional,1865,7.6,1010,354,886.5,202.6,49.5,7.4,3.7,19.6,60.5,13.5,0.85,25.1,922.7,5.8,6.0,26.2,0.116,0.75,1.1,0.04,0.23,11.1,0.016,0.04,55.8,Traces détectées,0.034,1.4,25.3,13.2,Selon composition minérale,Aucune,15.7,2025-07-20,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.3,2.0,43.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Spa Reine,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Spa, Import",Groupe régional,1864,7.8,1809,33,1423.3,376.5,65.3,39.1,5.8,59.4,104.4,11.0,0.86,29.3,135.9,1.0,0.7,2.4,0.025,0.38,5.9,0.056,0.19,9.6,0.008,0.26,27.0,Non détecté,0.059,1.92,47.1,17.4,Selon composition minérale,Aucune,29.9,2025-08-11,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.32,1.9,79.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Acqua Panna,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Acqua, Import",Groupe régional,1951,7.8,721,188,643.7,51.7,90.0,11.4,5.7,19.7,27.3,1.1,0.39,7.6,54.2,0.8,0.9,2.2,0.011,0.52,4.8,0.02,0.13,10.9,0.008,0.19,51.6,Non détecté,0.074,1.34,6.5,24.0,Selon composition minérale,Aucune,18.0,2025-08-27,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.16,2.1,74.2,Conforme,Conforme,Eau minérale naturelle,Aucune
Henniez,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Henniez, Import",Groupe régional,1970,7.8,1741,310,1383.7,449.5,23.0,12.1,5.9,19.8,130.1,9.2,0.9,33.8,75.5,0.7,0.9,2.6,0.033,0.52,5.8,0.016,0.06,1.9,0.013,0.03,48.0,Non détecté,0.03,1.11,56.2,6.1,Selon composition minérale,Aucune,12.0,2025-08-01,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.24,2.5,78.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Amand,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Saint-Amand, Bretagne",Groupe régional,1966,7.3,1870,436,1550.3,436.3,58.6,4.8,2.6,8.1,128.7,2.4,1.31,11.8,441.5,13.9,5.3,23.2,0.084,0.51,4.6,0.07,0.11,3.0,0.004,0.29,68.2,Traces détectées,0.072,1.86,54.5,15.6,Selon composition minérale,Aucune,29.8,2025-07-23,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.25,1.5,55.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Fontaine de la Reine Frédégonde,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Fontaine, Bretagne",Groupe régional,1958,7.2,2019,300,1583.0,398.6,97.6,24.2,6.7,32.5,109.1,5.4,1.75,25.7,453.2,5.5,9.4,29.3,0.119,0.63,1.1,0.039,0.15,10.5,0.004,0.09,76.5,Traces détectées,0.073,1.45,49.8,26.0,Selon composition minérale,Aucune,16.1,2025-07-19,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.3,2.1,61.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Badoit,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Badoit, Massif Central",Danone Waters France,1879,6.2,1111,1100,891.5,198.6,65.8,15.0,5.6,24.5,55.5,17.8,1.13,24.2,159.8,0.3,0.7,1.7,0.046,0.03,2.5,0.022,0.13,9.9,0.006,0.27,9.2,Non détecté,0.067,0.83,24.8,17.5,Selon composition minérale,Aucune,18.2,2025-08-07,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.34,3.1,73.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Quézac,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Quézac, Sud",Groupe régional,1929,6.0,349,1400,241.9,35.0,16.8,41.3,7.2,59.9,29.7,11.9,1.88,30.9,766.2,7.7,8.7,32.3,0.101,0.62,3.4,0.051,0.18,0.8,0.015,0.27,71.9,Traces détectées,0.043,1.16,4.4,4.5,Selon composition minérale,Aucune,10.3,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.13,2.5,89.4,Conforme,Conforme,Eau minérale naturelle,Aucune
La Salvetat,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source La, Sud",Groupe régional,1940,5.8,1034,462,801.0,229.6,20.0,37.0,4.5,50.9,73.8,7.0,1.57,38.7,804.4,11.7,8.5,23.8,0.095,0.59,6.9,0.052,0.1,1.3,0.005,0.14,59.9,Traces détectées,0.017,1.71,28.7,5.3,Selon composition minérale,Aucune,26.7,2025-08-13,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.14,2.1,40.9,Conforme,Conforme,Eau minérale naturelle,Aucune
San Pellegrino,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source San, Import",Groupe régional,1911,6.4,873,915,699.3,229.3,3.5,16.1,5.5,33.3,74.7,0.5,0.11,20.0,84.3,0.5,0.5,2.4,0.008,0.26,0.2,0.036,0.12,5.1,0.005,0.15,44.1,Non détecté,0.059,1.71,28.7,0.9,Selon composition minérale,Aucune,14.9,2025-08-14,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.1,1.9,57.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals, Massif Central",Groupe régional,1943,5.8,1137,1400,882.8,150.5,86.7,39.0,5.5,55.2,52.2,6.6,1.34,17.1,117.7,1.4,0.4,2.8,0.048,0.41,4.2,0.029,0.08,2.9,0.012,0.34,41.9,Non détecté,0.046,0.39,18.8,23.1,Selon composition minérale,Aucune,28.8,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.23,3.0,58.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Saint-Jean,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Saint-Jean, Massif Central",Groupe régional,1897,6.1,1975,1380,1558.3,402.2,89.4,20.9,6.6,36.8,113.4,5.1,1.1,39.2,59.4,1.0,0.8,2.2,0.054,0.32,6.8,0.041,0.23,9.4,0.007,0.32,60.9,Non détecté,0.012,1.52,50.3,23.8,Selon composition minérale,Aucune,27.0,2025-08-19,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.25,1.6,57.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Saint-Pierre,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Saint-Pierre, Massif Central",Groupe régional,1853,5.9,978,1390,758.9,132.9,74.9,29.3,4.5,49.5,53.9,15.6,1.89,29.6,101.7,0.8,0.3,3.0,0.012,0.38,6.5,0.038,0.13,10.3,0.006,0.08,65.8,Non détecté,0.025,1.91,16.6,20.0,Selon composition minérale,Aucune,15.1,2025-08-21,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.32,1.9,72.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Vivaraise,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Vivaraise, Massif Central",Groupe régional,1932,6.2,186,1370,204.3,39.0,4.6,7.4,3.3,22.4,24.4,4.9,0.78,39.0,56.7,1.3,0.2,3.5,0.038,0.17,7.3,0.024,0.22,7.8,0.015,0.16,52.2,Non détecté,0.017,1.7,4.9,1.2,Selon composition minérale,Aucune,33.6,2025-08-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.13,3.0,66.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Diéry,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Saint-Diéry, Massif Central",Groupe régional,1851,6.4,2144,1100,1804.5,467.3,90.0,1.4,3.8,11.0,140.8,3.6,0.59,25.5,57.0,0.7,0.2,2.4,0.018,0.38,3.9,0.055,0.06,3.2,0.015,0.19,46.0,Non détecté,0.065,0.74,58.4,24.0,Selon composition minérale,Aucune,24.9,2025-07-12,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,2.7,70.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Ventadour,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Ventadour, Massif Central",Groupe régional,1896,6.2,1947,1100,1507.5,431.7,59.2,32.7,5.4,50.2,124.7,10.8,1.51,32.6,191.7,1.0,0.6,2.3,0.054,0.06,6.2,0.084,0.06,11.9,0.017,0.09,37.5,Non détecté,0.028,0.16,54.0,15.8,Selon composition minérale,Aucune,8.2,2025-08-27,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.31,1.2,70.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Vernière,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vernière, Massif Central",Groupe régional,1930,6.2,1238,1500,972.4,225.0,63.1,30.2,4.7,41.8,74.5,16.6,1.58,7.1,65.6,1.1,0.4,2.7,0.025,0.22,4.1,0.031,0.1,5.3,0.003,0.34,36.9,Non détecté,0.075,0.35,28.1,16.8,Selon composition minérale,Aucune,10.4,2025-08-28,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.35,3.1,81.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Reine des Basaltes,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Reine, Massif Central",Groupe régional,1952,5.9,1456,1420,1127.9,330.4,25.5,48.8,6.1,64.2,91.9,17.5,1.53,7.3,132.4,1.3,0.8,2.6,0.053,0.33,4.6,0.061,0.08,9.3,0.005,0.16,40.9,Non détecté,0.046,0.34,41.3,6.8,Selon composition minérale,Aucune,6.3,2025-08-11,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.34,1.3,76.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Michel de Mourcairol,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Saint-Michel, Sud",Groupe régional,1949,6.2,1269,950,1005.1,261.2,43.3,34.9,7.4,54.4,77.0,9.5,0.34,32.2,1061.9,5.1,5.4,25.2,0.08,0.87,3.8,0.065,0.19,10.2,0.014,0.17,47.2,Traces détectées,0.066,0.65,32.6,11.5,Selon composition minérale,Aucune,33.6,2025-08-06,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,2.1,82.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Arcens,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Arcens, Sud",Groupe régional,1978,6.4,1938,1200,1565.1,424.9,62.6,31.3,6.7,46.4,123.8,8.0,1.79,24.7,603.6,13.4,2.7,23.4,0.079,0.37,4.4,0.025,0.12,1.1,0.012,0.28,76.7,Traces détectées,0.058,0.6,53.1,16.7,Selon composition minérale,Aucune,10.7,2025-08-17,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.1,1.6,63.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Luchon,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Luchon, Sud",Groupe régional,1949,5.8,737,1400,572.7,178.4,7.0,22.8,6.0,40.1,53.7,11.5,0.64,27.9,1210.7,3.2,3.0,21.3,0.087,0.37,7.9,0.043,0.08,3.3,0.003,0.24,62.5,Traces détectées,0.006,1.33,22.3,1.9,Selon composition minérale,Aucune,33.3,2025-08-08,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.36,1.8,71.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Ogeu Roy,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Ogeu, Sud",Groupe régional,1968,6.5,845,800,738.4,128.1,70.0,1.7,2.8,10.2,43.3,17.9,0.34,31.7,1410.7,6.9,2.1,25.0,0.106,0.84,6.0,0.03,0.11,8.8,0.005,0.1,8.7,Traces détectées,0.013,0.96,16.0,18.7,Selon composition minérale,Aucune,27.2,2025-08-27,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.16,1.2,73.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Parot,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Parot, Sud",Groupe régional,1887,6.1,1300,1000,991.1,183.3,95.0,39.3,7.5,49.8,61.4,11.6,1.23,6.7,526.5,9.7,8.3,31.1,0.096,0.68,7.6,0.048,0.12,4.1,0.011,0.18,76.9,Traces détectées,0.006,1.08,22.9,25.3,Selon composition minérale,Aucune,21.1,2025-07-28,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.21,1.2,50.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Prince Noir,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Prince, Sud",Groupe régional,1941,5.8,1206,980,936.0,265.9,23.1,45.5,6.2,61.3,86.6,9.4,0.09,36.5,1394.7,7.4,6.1,28.1,0.132,0.54,0.7,0.045,0.06,3.8,0.005,0.03,6.3,Traces détectées,0.046,0.63,33.2,6.2,Selon composition minérale,Aucune,26.9,2025-08-11,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.24,3.3,66.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Faustine,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Faustine, Massif Central",Groupe régional,1891,6.5,233,890,224.2,18.2,22.4,13.8,3.6,24.2,8.8,4.3,0.88,10.1,167.4,0.5,0.8,2.2,0.056,0.41,7.0,0.05,0.12,6.8,0.015,0.03,35.7,Non détecté,0.076,0.8,2.3,6.0,Selon composition minérale,Aucune,22.8,2025-07-15,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,1.8,46.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Carola,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source Carola, Vosges",Groupe régional,1948,6.1,2188,500,1695.6,464.3,74.5,45.3,8.2,62.3,139.9,1.9,1.63,18.4,1089.0,6.2,5.1,17.5,0.056,0.35,3.6,0.023,0.1,5.4,0.007,0.32,8.3,Traces détectées,0.003,1.17,58.0,19.9,Selon composition minérale,Aucune,17.8,2025-07-04,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.4,3.5,86.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Didier,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Didier, DOM TOM",Groupe régional,1951,7.9,1313,1425,1088.2,209.8,97.7,10.1,3.8,26.0,69.5,12.4,0.86,13.9,69.8,0.6,0.2,1.6,0.03,0.08,1.5,0.027,0.16,1.3,0.011,0.29,72.8,Non détecté,0.006,1.04,26.2,26.1,Selon composition minérale,Aucune,26.0,2025-08-06,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.18,2.8,58.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Cilaos,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Cilaos, DOM TOM",Groupe régional,1979,6.9,914,1180,725.8,195.3,21.5,34.2,4.3,45.4,71.3,10.3,1.4,25.1,73.5,0.9,0.8,3.1,0.036,0.37,3.1,0.047,0.11,1.8,0.01,0.21,45.6,Non détecté,0.012,1.8,24.4,5.7,Selon composition minérale,Aucune,34.7,2025-08-04,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.37,1.2,62.8,Conforme,Conforme,Eau minérale naturelle,Aucune
