Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Jouvence de Wattwiller,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Jouvence, Vosges",Groupe régional,1917,8.0,225,150,79.8,367.4,19.1,38.0,2.0,27.7,32.5,8.6,1.0,8.8,480.8,3.9,2.6,7.8,0.102,0.6,1.7,0.051,0.17,3.5,0.006,0.15,25.9,Traces anti-inflammatoires,0.043,0.64,45.9,5.1,Selon composition minérale,Aucune,11.3,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,2.1,56.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Aix-les-Bains,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Aix-les-Bains, Alpes",Groupe régional,1930,6.8,540,360,73.2,38.3,36.6,8.2,3.4,5.7,179.6,3.4,1.94,39.3,171.4,1.2,0.9,2.9,0.022,0.15,0.7,0.039,0.11,2.7,0.004,0.07,22.0,Non détecté,0.008,0.18,4.8,9.8,Selon composition minérale,Aucune,10.8,2025-07-10,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.18,1.6,42.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Abatilles,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Abatilles, Sud",Groupe régional,1865,7.6,531,354,172.3,202.6,49.5,7.4,12.4,6.0,59.3,13.5,0.79,9.9,289.7,2.2,1.6,4.8,0.047,0.29,1.2,0.043,0.12,0.8,0.004,0.08,22.8,Traces détectées,0.072,1.08,25.3,13.2,Selon composition minérale,Aucune,6.0,2025-07-08,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,2.6,61.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Spa Reine,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Spa, Import",Groupe régional,1864,7.8,49,33,11.5,376.5,65.3,39.1,7.6,22.3,42.5,11.0,1.31,38.7,66.2,0.4,0.3,3.2,0.005,0.03,0.3,0.025,0.08,1.0,0.002,0.04,12.2,Contrôles renforcés,0.001,0.92,47.1,17.4,Selon composition minérale,Aucune,22.6,2025-07-13,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,2.5,53.0,Conforme,Conforme,Eau minérale naturelle,Aucune
Acqua Panna,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Acqua, Import",Groupe régional,1951,7.8,282,188,40.5,51.7,90.0,11.4,11.4,23.2,50.6,1.1,0.61,5.2,57.5,0.4,0.3,2.9,0.004,0.03,0.3,0.022,0.07,0.9,0.002,0.04,10.6,Contrôles renforcés,0.015,0.46,6.5,24.0,Selon composition minérale,Aucune,20.9,2025-07-12,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,1.7,52.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Henniez,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Henniez, Import",Groupe régional,1970,7.8,465,310,75.3,449.5,23.0,12.1,10.4,46.5,161.3,9.2,1.89,19.6,79.8,0.5,0.4,2.2,0.006,0.04,0.4,0.031,0.1,1.2,0.002,0.05,14.7,Contrôles renforcés,0.017,0.53,56.2,6.1,Selon composition minérale,Aucune,26.6,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,2.5,59.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Amand,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Saint-Amand, Bretagne",Groupe régional,1966,7.3,654,436,241.7,436.3,58.6,4.8,7.3,45.0,176.5,2.4,1.41,6.6,950.1,13.0,8.6,22.5,0.648,3.63,5.0,0.082,0.24,9.9,0.033,0.65,58.7,Antibiotiques vétérinaires,0.029,1.04,54.5,15.6,Selon composition minérale,Aucune,13.1,2025-07-17,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.14,2.2,56.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Fontaine de la Reine Frédégonde,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Fontaine, Bretagne",Groupe régional,1958,7.2,450,300,83.0,398.6,97.6,24.2,10.6,13.1,137.7,5.4,0.41,15.8,970.3,13.2,8.8,24.1,0.662,3.7,5.1,0.084,0.25,10.1,0.034,0.66,60.0,Antibiotiques vétérinaires,0.065,0.29,49.8,26.0,Selon composition minérale,Aucune,14.8,2025-07-12,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.33,2.3,52.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Badoit,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Badoit, Massif Central",Danone Waters France,1879,6.2,1650,1100,490.2,198.6,65.8,15.0,12.3,35.8,160.6,17.8,0.23,35.7,80.4,0.5,0.3,1.9,0.008,0.06,0.4,0.071,0.1,1.5,0.009,0.21,39.7,Non détecté,0.015,0.57,24.8,17.5,Selon composition minérale,Aucune,4.7,2025-07-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,2.9,71.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Quézac,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Quézac, Sud",Groupe régional,1929,6.0,2100,1400,489.5,35.0,16.8,41.3,5.6,46.5,92.5,11.9,1.37,11.7,273.6,2.1,1.5,5.6,0.044,0.27,1.2,0.041,0.12,0.8,0.004,0.08,21.5,Traces détectées,0.038,0.11,4.4,4.5,Selon composition minérale,Aucune,28.5,2025-07-09,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,2.4,82.7,Conforme,Conforme,Eau minérale naturelle,Aucune
La Salvetat,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Oui,"Source La, Sud",Groupe régional,1940,5.8,693,462,231.6,229.6,20.0,37.0,14.5,12.2,45.0,7.0,0.86,13.3,235.5,1.8,1.3,4.3,0.038,0.24,1.0,0.035,0.1,0.7,0.003,0.07,18.5,Traces détectées,0.001,0.61,28.7,5.3,Selon composition minérale,Aucune,23.4,2025-07-09,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.33,1.3,78.0,Conforme,Conforme,Eau minérale naturelle,Aucune
San Pellegrino,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source San, Import",Groupe régional,1911,6.4,1372,915,473.4,229.3,3.5,16.1,12.4,21.1,122.3,0.5,1.93,27.6,63.8,0.4,0.3,1.7,0.005,0.03,0.3,0.025,0.08,1.0,0.002,0.04,11.8,Contrôles renforcés,0.068,0.19,28.7,0.9,Selon composition minérale,Aucune,20.2,2025-07-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.24,1.5,74.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals, Massif Central",Groupe régional,1943,5.8,2100,1400,320.5,150.5,86.7,39.0,8.0,37.1,13.5,6.6,1.15,35.8,92.5,0.5,0.3,3.1,0.009,0.07,0.4,0.082,0.12,1.7,0.01,0.24,45.7,Non détecté,0.057,0.58,18.8,23.1,Selon composition minérale,Aucune,16.7,2025-07-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,2.5,52.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Saint-Jean,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Saint-Jean, Massif Central",Groupe régional,1897,6.1,2070,1380,671.7,402.2,89.4,20.9,0.9,10.4,181.5,5.1,0.46,16.6,89.5,0.5,0.3,2.9,0.008,0.06,0.4,0.079,0.12,1.7,0.009,0.23,44.2,Non détecté,0.076,0.88,50.3,23.8,Selon composition minérale,Aucune,16.0,2025-07-06,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,1.7,64.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Saint-Pierre,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Saint-Pierre, Massif Central",Groupe régional,1853,5.9,2085,1390,691.3,132.9,74.9,29.3,11.1,11.1,4.9,15.6,0.78,14.5,83.3,0.5,0.3,2.1,0.008,0.06,0.4,0.074,0.11,1.6,0.009,0.22,41.2,Non détecté,0.045,1.39,16.6,20.0,Selon composition minérale,Aucune,20.1,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.08,2.2,43.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Vals-Vivaraise,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vals-Vivaraise, Massif Central",Groupe régional,1932,6.2,2055,1370,308.0,39.0,4.6,7.4,12.3,47.5,52.2,4.9,1.22,13.9,107.8,0.6,0.4,1.6,0.01,0.08,0.5,0.095,0.14,2.0,0.011,0.28,53.3,Non détecté,0.001,0.99,4.9,1.2,Selon composition minérale,Aucune,19.9,2025-07-15,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.11,2.8,45.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Diéry,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Saint-Diéry, Massif Central",Groupe régional,1851,6.4,1650,1100,542.6,467.3,90.0,1.4,7.7,17.4,134.8,3.6,1.01,34.5,68.9,0.4,0.2,2.9,0.006,0.05,0.3,0.061,0.09,1.3,0.007,0.18,34.0,Non détecté,0.015,0.76,58.4,24.0,Selon composition minérale,Aucune,15.5,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.27,1.9,62.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Ventadour,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Ventadour, Massif Central",Groupe régional,1896,6.2,1650,1100,561.1,431.7,59.2,32.7,12.5,36.5,61.6,10.8,1.24,13.8,96.7,0.6,0.3,3.0,0.009,0.07,0.5,0.085,0.13,1.8,0.01,0.25,47.8,Non détecté,0.049,1.09,54.0,15.8,Selon composition minérale,Aucune,25.5,2025-07-01,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,2.8,54.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Vernière,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Vernière, Massif Central",Groupe régional,1930,6.2,2250,1500,717.5,225.0,63.1,30.2,5.3,33.0,141.6,16.6,1.81,23.0,71.7,0.4,0.3,3.1,0.007,0.05,0.3,0.063,0.09,1.3,0.008,0.19,35.4,Non détecté,0.038,1.02,28.1,16.8,Selon composition minérale,Aucune,27.3,2025-07-29,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.24,1.8,67.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Reine des Basaltes,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Reine, Massif Central",Groupe régional,1952,5.9,2130,1420,446.3,330.4,25.5,48.8,6.2,31.9,64.0,17.5,1.94,16.8,100.6,0.6,0.4,2.3,0.009,0.07,0.5,0.089,0.13,1.9,0.011,0.26,49.7,Non détecté,0.059,0.27,41.3,6.8,Selon composition minérale,Aucune,28.2,2025-07-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.24,2.6,54.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Saint-Michel de Mourcairol,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Saint-Michel, Sud",Groupe régional,1949,6.2,1425,950,375.3,261.2,43.3,34.9,4.9,34.3,18.0,9.5,0.94,30.6,205.2,1.5,1.1,5.4,0.033,0.21,0.9,0.031,0.09,0.6,0.003,0.06,16.1,Traces détectées,0.015,0.68,32.7,11.5,Selon composition minérale,Aucune,7.8,2025-07-30,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.28,1.9,65.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Arcens,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Arcens, Sud",Groupe régional,1978,6.4,1800,1200,569.5,424.9,62.6,31.3,4.6,11.4,41.2,8.0,1.39,20.2,217.3,1.6,1.2,4.6,0.035,0.22,0.9,0.033,0.09,0.6,0.003,0.06,17.1,Traces détectées,0.043,0.25,53.1,16.7,Selon composition minérale,Aucune,28.3,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,2.0,48.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Luchon,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Luchon, Sud",Groupe régional,1949,5.8,2100,1400,382.4,178.4,7.0,22.8,1.3,32.3,168.3,11.5,0.54,15.1,282.2,2.1,1.5,6.3,0.045,0.28,1.2,0.042,0.12,0.8,0.004,0.08,22.2,Traces détectées,0.061,0.38,22.3,1.9,Selon composition minérale,Aucune,25.8,2025-07-23,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,1.5,60.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Ogeu Roy,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Ogeu, Sud",Groupe régional,1968,6.5,1200,800,215.7,128.1,70.0,1.7,3.9,8.8,174.8,17.9,1.95,22.0,295.8,2.2,1.6,6.2,0.048,0.3,1.3,0.044,0.13,0.8,0.004,0.08,23.2,Traces détectées,0.039,1.32,16.0,18.7,Selon composition minérale,Aucune,29.0,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.23,2.2,55.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Parot,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Parot, Sud",Groupe régional,1887,6.1,1500,1000,559.5,183.3,95.0,39.3,1.0,39.1,161.8,11.6,0.63,34.6,287.8,2.2,1.5,5.5,0.046,0.29,1.2,0.043,0.12,0.8,0.004,0.08,22.6,Traces détectées,0.03,0.12,22.9,25.3,Selon composition minérale,Aucune,27.5,2025-07-10,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,1.5,84.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Prince Noir,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Prince, Sud",Groupe régional,1941,5.8,1470,980,438.8,265.9,23.1,45.5,10.7,21.5,166.3,9.4,1.12,34.4,331.9,2.5,1.8,6.7,0.053,0.33,1.4,0.05,0.14,0.9,0.005,0.09,26.1,Traces détectées,0.036,1.38,33.2,6.2,Selon composition minérale,Aucune,18.6,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.19,2.5,72.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Faustine,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Oui,"Source Faustine, Massif Central",Groupe régional,1891,6.5,1335,890,497.9,18.2,22.4,13.8,13.0,21.0,42.6,4.3,0.17,17.9,59.7,0.4,0.2,2.6,0.006,0.04,0.3,0.053,0.08,1.1,0.006,0.15,29.5,Non détecté,0.009,0.46,2.3,6.0,Selon composition minérale,Aucune,16.5,2025-07-15,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.09,2.4,56.7,Conforme,Conforme,Eau minérale naturelle,Aucune
Didier,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Didier, DOM TOM",Groupe régional,1951,7.9,2137,1425,329.6,209.8,97.7,10.1,2.0,2.9,3.7,12.4,1.25,30.2,36.0,0.2,0.1,1.0,0.002,0.01,0.8,0.067,0.19,0.3,0.008,0.12,36.0,Non détecté,0.042,0.62,26.2,26.1,Selon composition minérale,Aucune,13.7,2025-07-08,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,2.4,45.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Cilaos,Eau minérale naturelle,Moyennement minéralisée (500-1500 mg/L),Non,"Source Cilaos, DOM TOM",Groupe régional,1979,6.9,1770,1180,579.5,195.3,21.5,34.2,13.0,33.1,3.7,10.3,0.14,39.1,27.9,0.2,0.1,2.7,0.002,0.01,0.6,0.052,0.14,0.2,0.006,0.1,27.9,Non détecté,0.023,1.25,24.4,5.7,Selon composition minérale,Aucune,18.4,2025-07-26,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.11,1.4,78.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Contrex,Eau minérale naturelle,Fortement minéralisée (>1500 mg/L),Non,"Source Contrex, Vosges",Nestlé Waters France,1977,6.8,3117,2078,538.4,448.3,17.6,1.2,3.7,47.0,192.0,11.3,0.5,8.1,380.1,3.1,2.0,8.0,0.08,0.48,1.3,0.04,0.13,2.8,0.005,0.12,20.5,Traces anti-inflammatoires,0.041,1.46,56.0,4.7,Selon composition minérale,Aucune,7.2,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.08,1.5,73.0,Conforme,Conforme,Eau minérale naturelle,Aucune
